is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
11.94,16.89,16.38,13.9,0.48,0.93,0.74,1.36,-14.73,-9.43
4.94,2.44,19.78,15.79,0.05,-0.1,0.07,-0.17,-33.98,-9.58
18.73,0.2,16.91,18.61,0.87,-0.2,1.22,-0.33,-19.23,-10.71
10.35,8.54,13.98,11.93,0.45,0.38,0.64,0.59,-14.47,-6.66
14.09,-13.88,15.63,25.41,0.65,-0.7,0.91,-1.05,-18.75,-15.5
17.28,76.46,14.61,31.77,0.91,2.28,1.19,4.21,-14.94,-12.16
20.09,43.47,16.04,13.97,1.0,2.83,1.29,5.44,-13.29,-4.04
0.14,15.04,18.87,17.1,-0.2,0.65,-0.29,0.93,-29.1,-9.18
14.69,-24.28,16.23,22.47,0.66,-1.26,0.93,-2.0,-22.79,-16.73
22.23,9.57,18.79,18.58,0.97,0.3,1.32,0.42,-17.49,-13.35
-10.58,3.0,16.46,15.47,-0.89,-0.06,-1.25,-0.08,-45.03,-7.93
9.98,9.95,16.07,12.32,0.37,0.48,0.58,0.68,-20.47,-8.78
3.34,-0.07,15.32,24.57,-0.04,-0.17,-0.06,-0.21,-20.75,-17.65
5.75,4.3,16.63,15.26,0.11,0.02,0.14,0.03,-18.46,-9.67
4.17,11.84,21.33,18.15,0.01,0.43,0.01,0.47,-30.86,-10.37
3.15,3.7,14.86,8.19,-0.06,-0.04,-0.08,-0.05,-25.71,-4.3
10.34,11.92,17.0,13.78,0.37,0.57,0.48,0.76,-24.28,-6.01
16.52,25.17,17.92,14.1,0.7,1.5,0.93,2.34,-28.41,-7.95
1.46,-18.09,15.99,23.6,-0.16,-0.94,-0.18,-1.03,-33.1,-21.51
17.64,-22.24,18.57,22.08,0.73,-1.19,0.98,-1.69,-23.46,-19.87
-5.39,-4.63,21.68,9.8,-0.43,-0.88,-0.62,-1.18,-42.9,-6.15
11.44,56.22,16.01,19.63,0.46,2.66,0.69,4.64,-22.24,-4.33
14.57,16.89,13.53,22.48,0.78,0.57,1.15,0.64,-13.62,-13.98
12.28,-2.49,15.16,13.46,0.55,-0.48,0.84,-0.67,-18.97,-9.07
10.75,26.34,15.73,12.28,0.43,1.82,0.65,2.71,-18.2,-3.98
8.98,26.85,15.57,23.52,0.32,0.97,0.44,1.21,-20.1,-12.5
-3.54,-5.39,15.31,20.98,-0.49,-0.45,-0.63,-0.49,-35.31,-16.39
7.11,-3.21,21.77,13.01,0.14,-0.55,0.23,-0.86,-19.25,-9.66
-0.13,48.6,14.79,20.42,-0.28,2.18,-0.37,3.5,-20.76,-11.73
13.66,3.91,17.05,11.52,0.57,-0.01,0.77,-0.01,-17.96,-7.46
16.26,35.75,18.44,12.98,0.66,2.45,0.9,4.38,-21.48,-4.38
-2.14,3.32,19.78,16.54,-0.31,-0.04,-0.44,-0.05,-30.05,-8.33
2.06,15.75,18.29,19.77,-0.11,0.59,-0.14,0.71,-19.77,-11.18
-0.34,25.71,15.9,15.7,-0.27,1.38,-0.37,1.53,-28.89,-6.07
11.23,5.47,17.87,13.11,0.4,0.11,0.46,0.14,-20.85,-9.23
13.42,9.05,17.78,12.94,0.53,0.39,0.74,0.57,-20.27,-9.69
9.75,-17.69,20.85,19.6,0.28,-1.11,0.37,-1.41,-21.86,-16.54
0.9,34.99,13.74,15.07,-0.23,2.06,-0.33,3.79,-23.07,-5.03
14.0,4.2,18.87,19.01,0.53,0.01,0.78,0.01,-23.01,-19.64
4.44,-15.94,12.18,26.07,0.04,-0.76,0.05,-0.89,-22.18,-17.88
20.67,29.54,16.24,11.44,1.03,2.23,1.37,3.88,-13.36,-4.61
10.87,11.47,13.4,12.16,0.51,0.61,0.69,0.88,-16.51,-6.14
13.07,18.98,18.15,10.93,0.5,1.37,0.69,2.06,-20.81,-5.04
-8.23,-10.19,17.25,10.94,-0.71,-1.3,-0.96,-1.49,-38.1,-11.13
17.29,22.58,19.01,16.63,0.7,1.12,1.01,1.69,-18.09,-7.58
14.03,-26.33,15.87,22.36,0.63,-1.36,0.84,-2.03,-19.42,-19.47
15.2,-20.81,14.47,17.53,0.77,-1.42,1.09,-1.82,-10.73,-17.01
-4.18,-3.04,15.96,17.67,-0.51,-0.4,-0.72,-0.49,-29.14,-14.0
16.53,-2.37,16.19,23.21,0.77,-0.27,1.14,-0.4,-31.12,-16.4
6.46,13.09,15.25,12.4,0.16,0.73,0.24,1.07,-21.79,-4.75
-0.84,36.06,18.68,13.81,-0.26,2.32,-0.38,3.42,-29.22,-6.6
8.96,-3.38,14.55,12.2,0.34,-0.6,0.46,-0.9,-16.99,-13.27
7.09,-18.01,15.45,24.84,0.2,-0.89,0.26,-1.3,-30.33,-20.27
10.47,35.23,15.33,16.82,0.42,1.86,0.5,3.28,-17.28,-8.6
4.96,-17.47,15.84,16.78,0.06,-1.28,0.09,-1.49,-19.73,-13.95
19.6,9.08,17.78,25.36,0.88,0.2,1.1,0.27,-20.96,-13.65
1.27,11.87,14.77,22.08,-0.19,0.36,-0.26,0.4,-16.47,-15.53
3.68,10.15,15.87,16.87,-0.02,0.36,-0.03,0.45,-18.13,-8.82
-8.74,-19.46,17.94,19.79,-0.71,-1.19,-0.9,-1.79,-44.32,-21.28
0.66,38.22,16.7,14.77,-0.2,2.32,-0.27,3.59,-23.8,-5.55
6.7,-0.83,17.03,17.91,0.16,-0.27,0.22,-0.32,-20.6,-9.36
13.12,22.43,15.58,17.98,0.59,1.03,0.75,1.51,-15.89,-6.43
4.74,2.91,12.88,20.71,0.06,-0.05,0.08,-0.08,-20.63,-16.73
12.27,25.09,17.2,12.94,0.48,1.63,0.66,2.61,-20.86,-4.92
3.4,16.71,13.54,11.35,-0.04,1.12,-0.07,1.89,-20.52,-5.65
8.22,-1.64,16.97,8.89,0.25,-0.63,0.36,-0.93,-16.02,-7.81
