is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
22.48,-3.02,21.5,16.58,0.86,-0.42,1.13,-0.49,-23.54,-12.73
17.67,-43.54,15.62,27.13,0.87,-1.75,1.29,-2.66,-15.44,-29.18
16.74,20.05,18.81,13.64,0.68,1.18,0.93,2.02,-18.79,-6.28
30.18,33.96,21.08,19.59,1.24,1.53,1.8,1.95,-13.72,-12.16
24.96,35.04,22.44,16.42,0.93,1.89,1.25,3.15,-28.68,-8.56
1.51,51.98,19.98,13.38,-0.12,3.59,-0.16,5.15,-24.19,-3.46
10.93,-22.11,20.62,19.38,0.34,-1.35,0.48,-1.93,-24.46,-22.96
11.6,36.28,16.54,18.48,0.46,1.75,0.57,2.89,-25.58,-8.68
0.33,35.14,18.81,12.49,-0.2,2.49,-0.24,4.33,-28.59,-6.08
7.62,17.66,16.65,15.04,0.22,0.91,0.26,1.52,-31.71,-8.38
9.83,-33.77,18.67,23.99,0.31,-1.57,0.45,-2.46,-21.76,-25.83
-0.84,-32.88,17.21,22.29,-0.28,-1.65,-0.39,-2.31,-22.27,-27.46
5.78,-34.31,17.8,19.57,0.1,-1.96,0.14,-2.78,-24.46,-23.15
5.58,-36.43,19.11,22.49,0.08,-1.8,0.12,-2.38,-23.36,-24.68
12.59,-7.39,20.38,18.42,0.42,-0.62,0.58,-1.05,-19.06,-15.29
8.61,14.39,17.5,17.22,0.26,0.6,0.37,0.76,-28.25,-8.06
18.98,26.72,19.13,16.36,0.78,1.39,1.08,2.5,-20.46,-7.4
14.05,-18.4,20.32,20.03,0.49,-1.12,0.65,-1.65,-24.63,-23.91
11.23,1.13,16.8,19.76,0.43,-0.15,0.62,-0.26,-23.59,-10.55
18.33,11.07,16.02,17.28,0.89,0.41,1.21,0.58,-15.99,-9.6
12.17,87.8,17.02,11.78,0.48,7.11,0.64,13.08,-17.78,-3.4
7.36,-21.28,23.41,17.06,0.14,-1.48,0.19,-1.85,-28.44,-17.7
21.17,-11.34,17.07,15.58,1.01,-0.98,1.41,-1.39,-15.57,-16.56
-5.51,9.52,22.22,24.33,-0.43,0.23,-0.57,0.29,-36.6,-12.96
-3.65,17.09,22.36,15.83,-0.34,0.83,-0.49,1.25,-44.11,-7.17
-4.49,-13.25,18.69,20.41,-0.45,-0.85,-0.6,-1.45,-31.13,-18.15
14.36,57.89,23.22,16.04,0.45,3.36,0.6,6.5,-18.67,-3.84
13.45,31.47,19.78,17.07,0.48,1.61,0.7,2.75,-26.22,-10.62
4.56,8.64,19.1,31.9,0.03,0.15,0.04,0.16,-38.09,-20.16
13.64,21.39,16.17,16.59,0.6,1.05,0.8,1.1,-22.85,-6.11
7.35,3.63,16.11,16.51,0.21,-0.02,0.28,-0.03,-18.35,-11.46
6.48,-36.88,17.63,22.14,0.14,-1.85,0.18,-2.63,-26.7,-22.6
12.71,-6.73,19.33,24.39,0.45,-0.44,0.6,-0.56,-20.59,-17.91
-1.78,28.18,17.28,14.17,-0.33,1.71,-0.42,1.88,-31.87,-5.88
5.8,59.99,26.01,11.9,0.07,4.71,0.1,8.41,-29.67,-4.51
13.7,42.39,20.18,22.67,0.48,1.69,0.6,2.58,-18.3,-7.31
10.76,-10.72,18.3,16.13,0.37,-0.91,0.51,-1.05,-26.94,-14.52
25.39,29.0,19.11,11.67,1.12,2.14,1.55,3.14,-22.89,-8.19
7.44,14.97,20.67,30.95,0.17,0.35,0.22,0.38,-27.3,-19.57
2.11,19.59,18.05,33.27,-0.1,0.47,-0.14,0.53,-30.75,-19.41
14.06,2.83,17.11,12.53,0.59,-0.09,0.81,-0.14,-22.81,-11.09
6.13,18.81,17.72,13.22,0.12,1.12,0.15,1.8,-24.44,-7.64
20.22,6.27,19.28,17.67,0.84,0.13,1.16,0.18,-17.19,-10.32
-1.18,27.3,15.76,19.72,-0.33,1.18,-0.41,2.15,-31.03,-5.89
3.01,41.33,19.04,19.7,-0.05,1.9,-0.07,3.55,-31.64,-11.27
2.63,24.72,18.78,13.58,-0.07,1.53,-0.1,1.94,-22.25,-7.4
15.3,-7.13,19.82,21.0,0.57,-0.53,0.69,-0.76,-33.25,-17.08
35.31,60.32,14.7,13.01,2.13,4.33,2.97,7.53,-9.74,-3.52
6.26,-0.22,20.11,16.88,0.11,-0.25,0.15,-0.34,-22.24,-17.51
-7.79,35.01,20.19,20.71,-0.58,1.5,-0.86,1.67,-41.3,-12.36
10.11,9.58,17.58,17.77,0.35,0.31,0.46,0.38,-21.76,-12.99
30.38,57.87,19.32,15.36,1.37,3.51,1.99,6.16,-24.7,-4.45
24.7,41.64,15.78,14.65,1.31,2.57,1.88,3.58,-24.07,-11.13
18.21,33.92,17.47,16.03,0.81,1.87,1.18,3.18,-26.1,-11.07
2.88,-33.92,19.8,25.64,-0.06,-1.48,-0.08,-2.05,-26.33,-20.68
-3.96,-7.66,20.68,22.03,-0.39,-0.53,-0.56,-0.9,-34.93,-10.61
-6.87,98.72,18.62,21.72,-0.58,4.36,-0.75,7.2,-42.31,-6.33
6.77,-21.34,15.7,23.64,0.18,-1.07,0.25,-1.4,-24.63,-15.22
10.35,18.02,17.7,16.55,0.36,0.85,0.45,1.29,-36.77,-7.74
23.48,60.62,17.09,21.41,1.14,2.64,1.61,5.22,-17.31,-5.66
7.74,-25.37,23.31,26.03,0.16,-1.13,0.22,-1.53,-23.14,-21.29
14.59,28.09,17.45,14.19,0.61,1.7,0.78,2.6,-20.46,-4.94
16.23,0.04,19.06,25.88,0.64,-0.15,0.93,-0.22,-21.99,-18.52
3.61,32.44,17.89,19.48,-0.02,1.46,-0.03,2.94,-24.81,-12.58
5.37,17.03,16.91,15.22,0.08,0.86,0.11,1.11,-24.58,-9.08
20.93,3.5,17.91,15.4,0.95,-0.03,1.24,-0.06,-20.08,-11.12
15.9,28.68,17.32,23.21,0.69,1.06,0.92,1.43,-17.88,-13.72
-6.75,39.61,20.53,14.52,-0.52,2.45,-0.72,3.96,-30.98,-5.46
20.34,21.06,15.94,23.49,1.03,0.73,1.3,1.01,-15.56,-10.77
5.62,32.01,18.43,15.11,0.09,1.85,0.12,2.76,-19.34,-5.81
5.84,1.5,18.5,17.93,0.1,-0.14,0.14,-0.15,-24.16,-15.28
10.34,2.5,16.93,29.79,0.37,-0.05,0.55,-0.07,-30.64,-15.44
2.07,-10.65,20.98,19.05,-0.09,-0.77,-0.12,-0.95,-24.17,-10.68
8.16,3.54,17.29,13.39,0.24,-0.03,0.32,-0.05,-20.55,-9.22
21.54,15.69,16.78,21.0,1.05,0.56,1.45,0.62,-16.21,-13.85
5.43,-13.45,15.44,26.96,0.09,-0.65,0.13,-0.86,-26.5,-17.92
-8.98,64.57,20.54,17.12,-0.63,3.54,-0.92,4.33,-47.74,-8.55
6.73,27.11,20.22,15.85,0.14,1.46,0.2,2.38,-24.66,-9.08
22.24,20.9,17.53,13.92,1.04,1.21,1.42,1.76,-15.68,-8.25
26.98,1.52,12.93,14.97,1.78,-0.17,2.48,-0.23,-13.62,-6.5
10.9,39.39,18.31,16.97,0.38,2.09,0.45,3.34,-18.36,-6.24
9.0,1.13,16.09,26.23,0.31,-0.11,0.45,-0.13,-21.41,-17.4
22.17,14.52,17.93,18.88,1.01,0.56,1.34,1.11,-18.97,-10.43
15.76,-12.54,16.01,24.05,0.73,-0.69,1.05,-1.14,-13.57,-17.2
23.45,14.19,19.09,21.03,1.02,0.48,1.41,0.69,-23.11,-12.22
