,ON,ENPH,CEG,CDNS,VRSN,WDAY,ALGN,AMD,ADBE,PANW,GOOGL,SNPS,ZS,INSM,COST,PYPL,XEL,JD,FAST,DLTR
2022-01-31,,,,,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,,,,,,,,,
2022-04-29,,,,,,,,,,,,,,,,,,,,
2022-05-31,,,,,,,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,,,,,,,,
2022-07-29,,,,,,,,,,,,,,,,,,,,
2022-08-31,,,,,,,,,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,,,,,
2022-12-30,,,,,,,,,,,,,,,,,,,,
2023-01-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,
2023-02-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,
2023-03-31,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,
2023-04-28,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,
2023-05-31,0.3333333333333333,,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,
2023-06-30,0.3333333333333333,,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,
2023-07-31,0.3333333333333333,,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,
2023-08-31,,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,
2023-09-29,,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,
2023-10-31,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,
2023-11-30,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,,,
2023-12-29,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,,,
2024-01-31,,,,,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,,,
2024-02-29,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,
2024-03-28,,,0.3333333333333333,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,
2024-04-30,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,
2024-05-31,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,
2024-06-28,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,
2024-07-31,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,
2024-08-30,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,
2024-09-30,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,
2024-10-31,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,
2024-11-29,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,
2024-12-31,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,
2025-01-31,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,
2025-02-28,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,
2025-03-31,,,,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,
2025-04-30,,,,,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,
2025-05-30,,,,,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,
2025-06-30,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,
2025-07-31,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,
2025-08-29,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333
2025-09-30,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333
2025-10-31,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333
2025-11-28,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,,,,,,
2025-12-31,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,
2026-01-30,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,
2026-02-27,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,
2026-03-31,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,
