is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
-1.34,5.65,17.64,11.07,-0.3,0.15,-0.38,0.27,-23.4,-4.82
4.98,7.03,17.02,13.68,0.06,0.22,0.08,0.39,-28.09,-5.21
3.42,21.92,13.46,16.46,-0.04,1.09,-0.06,1.76,-19.32,-6.86
16.86,33.83,15.21,10.68,0.85,2.79,1.27,4.89,-19.26,-5.85
17.49,1.41,20.04,13.14,0.67,-0.2,0.97,-0.25,-20.91,-11.67
15.34,21.31,19.13,15.61,0.59,1.11,0.79,1.77,-20.38,-6.79
5.63,-28.75,17.41,14.75,0.09,-2.22,0.12,-2.92,-24.0,-17.07
23.01,4.2,16.5,12.92,1.15,0.02,1.72,0.02,-16.94,-6.23
1.04,-8.12,13.34,17.73,-0.22,-0.68,-0.29,-0.88,-21.01,-10.65
4.1,4.6,16.83,13.96,0.01,0.04,0.01,0.06,-19.81,-8.26
23.6,-24.86,16.66,19.34,1.18,-1.49,1.65,-2.12,-12.96,-19.42
20.28,-19.42,16.79,24.09,0.97,-0.97,1.4,-1.44,-20.51,-15.36
4.64,6.95,15.32,18.24,0.04,0.16,0.06,0.18,-22.68,-11.54
-1.51,12.73,19.59,9.72,-0.28,0.9,-0.38,1.46,-29.16,-6.65
8.74,10.58,14.97,12.9,0.32,0.51,0.42,0.62,-19.62,-8.74
9.18,21.82,17.86,14.08,0.29,1.27,0.38,1.74,-21.28,-9.08
2.56,-8.97,16.01,25.47,-0.09,-0.51,-0.11,-0.73,-29.13,-17.38
3.08,11.77,19.2,11.3,-0.05,0.69,-0.06,1.13,-30.43,-7.96
1.71,-12.17,16.01,20.84,-0.14,-0.78,-0.19,-0.99,-26.56,-14.67
0.9,37.02,14.82,14.53,-0.21,2.27,-0.27,3.61,-25.53,-8.26
11.98,26.01,16.55,13.12,0.48,1.68,0.65,2.34,-16.62,-7.39
5.33,25.13,20.82,13.12,0.06,1.61,0.08,2.27,-23.28,-4.65
4.58,31.02,19.53,10.31,0.03,2.62,0.04,6.31,-31.32,-3.05
11.61,7.56,15.64,10.56,0.49,0.34,0.66,0.65,-20.51,-5.86
10.52,-10.28,20.33,27.14,0.32,-0.53,0.43,-0.66,-21.15,-18.13
11.66,-3.7,14.42,7.4,0.53,-1.04,0.74,-1.71,-20.85,-5.23
9.45,-4.19,18.43,10.36,0.3,-0.79,0.38,-1.5,-25.84,-9.13
1.01,19.38,18.54,11.82,-0.16,1.3,-0.23,1.97,-23.73,-4.13
1.7,2.92,19.65,23.2,-0.12,-0.05,-0.17,-0.05,-25.81,-13.1
9.59,14.76,19.06,16.1,0.29,0.67,0.38,1.0,-25.54,-8.57
11.6,-11.42,14.2,15.51,0.54,-0.99,0.79,-1.43,-17.74,-10.87
7.56,-15.59,12.23,23.55,0.29,-0.83,0.47,-1.05,-13.65,-17.77
-2.67,7.33,13.94,10.16,-0.48,0.33,-0.66,0.43,-21.44,-5.81
2.72,30.2,16.79,11.98,-0.08,2.19,-0.1,3.64,-18.15,-8.52
4.42,68.33,19.26,14.29,0.02,4.5,0.03,6.42,-25.61,-4.6
-1.51,-23.62,16.35,19.12,-0.34,-1.44,-0.43,-2.1,-23.96,-19.87
5.75,-28.86,15.65,23.79,0.11,-1.38,0.15,-1.55,-22.47,-20.91
3.45,28.4,15.83,15.4,-0.03,1.58,-0.05,1.99,-18.34,-8.01
6.34,59.33,17.1,14.39,0.14,3.85,0.18,5.52,-20.69,-6.11
2.12,0.99,15.89,19.36,-0.12,-0.16,-0.15,-0.2,-21.22,-18.58
18.5,10.02,17.33,20.56,0.84,0.29,1.15,0.36,-23.29,-10.89
11.45,3.21,21.59,14.29,0.35,-0.06,0.53,-0.09,-16.05,-6.74
